Percentile,Duration
60.0,29.794624907910368
60.1,29.799877263401704
60.2,29.806162372429316
60.300000000000004,29.815178810583706
60.400000000000006,29.819097756540067
60.50000000000001,29.822002044843366
60.60000000000001,29.825369889373167
60.70000000000001,29.828508338038663
60.80000000000001,29.83397448344863
60.90000000000001,29.838541916762235
61.000000000000014,29.840811365728207
61.100000000000016,29.843476471866037
61.20000000000002,29.849419237559417
61.30000000000002,29.85644737914084
61.40000000000002,29.860076969635035
61.50000000000002,29.864480105750644
61.60000000000002,29.871741905087216
61.700000000000024,29.878077187012416
61.800000000000026,29.87905636489831
61.90000000000003,29.87976859697942
62.00000000000003,29.88077466884265
62.10000000000003,29.88118407226469
62.20000000000003,29.88203330342184
62.30000000000003,29.884176700639035
62.400000000000034,29.886010602986577
62.500000000000036,29.886685796046596
62.60000000000004,29.890949268065885
62.70000000000004,29.89819953482639
62.80000000000004,29.901821961247112
62.90000000000004,29.903969491377406
63.00000000000004,29.905904046210825
63.100000000000044,29.908955257074393
63.200000000000045,29.913145877932696
63.30000000000005,29.920604177142256
63.40000000000005,29.92381494065279
63.50000000000005,29.926415642613676
63.60000000000005,29.929918441525196
63.70000000000005,29.93064738446405
63.800000000000054,29.939419195688775
63.900000000000055,29.959282498915094
64.00000000000006,29.970012177097466
64.10000000000005,29.975208121174372
64.20000000000006,29.9762247464034
64.30000000000007,29.977493607911562
64.40000000000006,29.980024583508744
64.50000000000006,29.984162085542092
64.60000000000007,29.985077684967752
64.70000000000007,29.985888164839075
64.80000000000007,29.98650903559307
64.90000000000006,29.98817971202794
65.00000000000007,29.990328955817755
65.10000000000008,29.99391789202019
65.20000000000007,29.997896400891005
65.30000000000007,29.999091435159087
65.40000000000008,30.004215520633654
65.50000000000009,30.012291356724923
65.60000000000008,30.01768290259451
65.70000000000007,30.020626741242953
65.80000000000008,30.02746949090604
65.90000000000009,30.036746101908
66.00000000000009,30.042145464596167
66.10000000000008,30.04601670679485
66.20000000000009,30.050965787298676
66.3000000000001,30.052862144251634
66.40000000000009,30.0563018439473
66.50000000000009,30.057411582552636
66.6000000000001,30.058796308631006
66.7000000000001,30.06354619294164
66.8000000000001,30.073870446173718
66.90000000000009,30.084486599938426
67.0000000000001,30.087034378041242
67.10000000000011,30.09068307553745
67.2000000000001,30.091305959287777
67.3000000000001,30.09228190935679
67.4000000000001,30.092332272129266
67.50000000000011,30.094323343311817
67.60000000000011,30.09897006764784
67.7000000000001,30.100972984298455
67.80000000000011,30.103233875854244
67.90000000000012,30.10833457445922
68.00000000000011,30.118115233181943
68.10000000000011,30.122718988637054
68.20000000000012,30.12907919944251
68.30000000000013,30.13126859911281
68.40000000000012,30.134384743794246
68.50000000000011,30.14247122366845
68.60000000000012,30.155222888430576
68.70000000000013,30.1684763056776
68.80000000000013,30.174135223054147
68.90000000000012,30.175489623783562
69.00000000000013,30.17932756905745
69.10000000000014,30.18474741563404
69.20000000000013,30.18657606362944
69.30000000000013,30.19095980020506
69.40000000000013,30.197571725927435
69.50000000000014,30.207688185894398
69.60000000000014,30.20954614821668
69.70000000000013,30.21004327232033
69.80000000000014,30.21089763780163
69.90000000000015,30.213105772606443
70.00000000000014,30.2175657722724
70.10000000000014,30.227052993339438
70.20000000000014,30.231453062936577
70.30000000000015,30.239218866735587
70.40000000000015,30.2405971049521
70.50000000000014,30.244423035283365
70.60000000000015,30.25116539426561
70.70000000000016,30.253814316017625
70.80000000000015,30.258327087831464
70.90000000000015,30.261497650339244
71.00000000000016,30.264061312302093
71.10000000000016,30.264408018552434
71.20000000000016,30.2654316330618
71.30000000000015,30.267591795399753
71.40000000000016,30.271235641991627
71.50000000000017,30.271986790187434
71.60000000000016,30.27450450217216
71.70000000000016,30.277647596239124
71.80000000000017,30.27944664483636
71.90000000000018,30.28245382816841
72.00000000000017,30.288023107605547
72.10000000000016,30.291379119555124
72.20000000000017,30.293898987212167
72.30000000000018,30.295129258239673
72.40000000000018,30.298286822930162
72.50000000000017,30.301122872587317
72.60000000000018,30.302827436955432
72.70000000000019,30.303097445250557
72.80000000000018,30.304339697192372
72.90000000000018,30.312950864364602
73.00000000000018,30.33266088998242
73.1000000000002,30.342204234136684
73.20000000000019,30.345695609615685
73.30000000000018,30.353405297252582
73.40000000000019,30.354424914018015
73.5000000000002,30.355640826465933
73.6000000000002,30.359570637350156
73.70000000000019,30.369456375190207
73.8000000000002,30.376558270127607
73.9000000000002,30.387647057780978
74.0000000000002,30.393146481398723
74.1000000000002,30.39670091411703
74.2000000000002,30.398625658340723
74.30000000000021,30.403243816372566
74.4000000000002,30.409485477572282
74.5000000000002,30.412422451474676
74.60000000000021,30.413985265108153
74.70000000000022,30.418443394014705
74.80000000000021,30.42930902746606
74.9000000000002,30.430073431192415
75.00000000000021,30.434851974198832
75.10000000000022,30.447325038213723
75.20000000000022,30.45186846425893
75.30000000000021,30.455619993921683
75.40000000000022,30.460461256109937
75.50000000000023,30.462398608151712
75.60000000000022,30.463534967518942
75.70000000000022,30.465283853930483
75.80000000000022,30.473058509745666
75.90000000000023,30.482030292278225
76.00000000000023,30.486425857380002
76.10000000000022,30.49547100819843
76.20000000000023,30.50235484048266
76.30000000000024,30.51261950895545
76.40000000000023,30.518054696728978
76.50000000000023,30.528923873156927
76.60000000000024,30.533617714922283
76.70000000000024,30.540752893546035
76.80000000000024,30.55166947170095
76.90000000000023,30.553541888933093
77.00000000000024,30.558496647100107
77.10000000000025,30.566254766683713
77.20000000000024,30.569200669171508
77.30000000000024,30.57741528638501
77.40000000000025,30.581619823307708
